iter	Accuracy	MultiClass
0	0.08439955107	4.421248447
1	0.1528338945	4.279820014
2	0.1966189675	4.170917163
3	0.2821969697	4.010880826
4	0.3469837262	3.906776137
5	0.4359147026	3.784575142
6	0.4688832772	3.686598015
7	0.5282687991	3.556870707
8	0.5540123457	3.482265146
9	0.5819584736	3.395425158
10	0.6178170595	3.310674341
11	0.6306116723	3.236490454
12	0.654657688	3.169250382
13	0.6737373737	3.123092342
14	0.6941358025	3.047590385
15	0.7146604938	2.998066306
16	0.7258417508	2.944629277
17	0.7354096521	2.885758716
18	0.7477272727	2.838260767
19	0.7626823793	2.777805674
20	0.7679573513	2.753109152
21	0.775617284	2.706242374
22	0.7818742985	2.667472037
23	0.784624018	2.624934767
24	0.7914281706	2.589147759
25	0.7968013468	2.550820033
26	0.7998316498	2.518163188
27	0.8046436588	2.493352597
28	0.8084175084	2.454321831
29	0.8118967452	2.420697783
30	0.8137205387	2.395387192
31	0.81832211	2.356276485
32	0.8209736251	2.3244048
33	0.8262065095	2.294729971
34	0.828956229	2.269898609
35	0.8300785634	2.258835857
36	0.8325617284	2.222215028
37	0.8348765432	2.195076667
38	0.8375841751	2.160492681
39	0.8387626263	2.14403139
40	0.8397306397	2.11626801
41	0.8403058361	2.097356147
42	0.8423540965	2.078309902
43	0.8439955107	2.060739001
44	0.8451599327	2.038568199
45	0.8464786756	2.025748845
46	0.8475729517	2.004562481
47	0.8495510662	1.976117775
48	0.8510662177	1.955722459
49	0.8526795735	1.938630273
50	0.8551907969	1.919678455
51	0.8560465769	1.904996352
52	0.8579405163	1.881236109
53	0.8627384961	1.864432731
54	0.863818743	1.847205659
55	0.8656425365	1.825196141
56	0.8660493827	1.807083632
57	0.8667368126	1.794177714
58	0.867859147	1.776395192
59	0.8693462402	1.758263907
60	0.8697811448	1.743397692
61	0.8705808081	1.724484227
62	0.8714225589	1.705647993
63	0.8726290685	1.692250883
64	0.8735549944	1.682846074
65	0.8747615039	1.671768456
66	0.8752104377	1.659575738
67	0.8762065095	1.641283818
68	0.8765432099	1.629590871
69	0.877328844	1.608568028
70	0.8779601571	1.597944046
71	0.8791806958	1.587508986
72	0.8802749719	1.578610099
73	0.8804152637	1.569958433
74	0.8805555556	1.560136122
75	0.8809343434	1.552869504
76	0.881214927	1.538449691
77	0.8816077441	1.527586618
78	0.8824354658	1.51600018
79	0.8829124579	1.506637033
80	0.8834034792	1.491542428
81	0.8836419753	1.479703082
82	0.8839927048	1.473516961
83	0.8843714927	1.4607052
84	0.8845538721	1.453994121
85	0.8854938272	1.434815207
86	0.8854517396	1.424937378
