iter	Passed	Remaining
0	3159	2366317
1	6468	2419074
2	9298	2315203
3	12281	2290419
4	15107	2250996
5	18150	2250721
6	20905	2218932
7	23945	2220982
8	26742	2201806
9	29610	2191205
10	32370	2174736
11	35467	2181257
12	38636	2190367
13	42110	2213786
14	45107	2210272
15	48346	2217876
16	50889	2194255
17	53866	2190560
18	57270	2203414
19	60063	2192326
20	63142	2191948
21	65794	2177211
22	68912	2178247
23	71685	2168471
24	75051	2176482
25	78398	2183105
26	81518	2182880
27	84719	2184561
28	87501	2175475
29	90824	2179778
30	93831	2176288
31	97030	2177125
32	99885	2170246
33	102890	2166756
34	106108	2167645
35	108963	2161114
36	112314	2164329
37	115549	2165037
38	118723	2164419
39	121640	2159122
40	124691	2156246
41	127874	2155602
42	130932	2152771
43	134014	2150328
44	137092	2147784
45	140127	2144567
46	143391	2144777
47	146346	2140324
48	149744	2142268
49	152440	2134167
50	156035	2138597
51	159143	2136195
52	162226	2133427
53	165010	2126801
54	168135	2124621
55	171245	2122226
56	174541	2122051
57	177673	2119824
58	180619	2115391
59	183516	2110437
60	186279	2104041
61	189492	2102756
62	193060	2105276
63	196125	2102220
64	198899	2096093
65	202427	2097880
66	205370	2093552
67	208119	2087314
68	211046	2082934
69	214164	2080452
70	217641	2081388
71	220278	2074289
72	223712	2074708
73	226624	2070247
74	229363	2064268
75	232184	2059109
76	235577	2059010
77	238482	2054622
78	241334	2049816
79	244561	2048201
80	247441	2043682
81	250896	2043886
82	253805	2039614
83	256578	2034297
84	259953	2033754
85	262598	2027504
86	265913	2026443
87	269039	2023911
88	272004	2020169
89	275486	2020234
90	278675	2018097
91	282913	2023446
92	286965	2027275
93	290681	2028586
94	294692	2031824
95	298965	2036700
96	303225	2041300
97	307019	2042622
98	310615	2042535
99	313860	2040094
100	317213	2038330
101	321060	2039675
102	323944	2034876
103	327423	2033805
104	330377	2029462
105	333679	2027262
106	337061	2025521
107	340628	2024848
108	343685	2021125
109	346872	2018168
110	350678	2018770
111	354008	2016584
112	357606	2015888
113	360628	2011926
114	363764	2008615
115	367172	2006787
116	370430	2004125
117	373558	2000753
118	376607	1996967
119	380326	1996715
120	383460	1993361
121	386312	1988560
122	389758	1986816
123	392748	1982744
124	396120	1980602
125	399064	1976320
126	402309	1973533
127	405605	1970990
128	408681	1967373
129	412066	1965239
130	415111	1961478
131	418365	1958712
132	421249	1954217
133	424448	1951198
134	427922	1949423
135	431260	1947015
136	434792	1945456
137	437881	1941910
138	441038	1938663
139	444567	1937042
140	447609	1933292
141	450922	1930710
142	454405	1928839
143	457736	1926307
144	460299	1920558
145	463336	1916818
146	466526	1913712
147	469315	1908972
148	472184	1904582
149	475482	1901929
150	478704	1898965
151	481615	1894777
152	484438	1890261
153	487404	1886318
154	490402	1882512
155	494192	1881731
156	497132	1877704
